0,1,2
https://www.allrecipes.com/recipes/362/desserts/cookies/?page=3,page 3 of 259,https://www.allrecipes.com/recipe/10856/melt-in-your-mouth-shortbread/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub
https://www.allrecipes.com/recipes/362/desserts/cookies/?page=3,page 3 of 259,https://www.allrecipes.com/recipe/25787/coconut-macaroons-iii/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub
https://www.allrecipes.com/recipes/362/desserts/cookies/?page=3,page 3 of 259,https://www.allrecipes.com/recipe/10110/soft-christmas-cookies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub
https://www.allrecipes.com/recipes/362/desserts/cookies/?page=3,page 3 of 259,NO_URL
https://www.allrecipes.com/recipes/362/desserts/cookies/?page=3,page 3 of 259,https://www.allrecipes.com/recipe/25832/cream-cheese-squares/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub
https://www.allrecipes.com/recipes/362/desserts/cookies/?page=3,page 3 of 259,https://www.allrecipes.com/recipe/17209/absolutely-the-best-chocolate-chip-cookies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub
https://www.allrecipes.com/recipes/362/desserts/cookies/?page=3,page 3 of 259,https://www.allrecipes.com/recipe/56673/eileens-spicy-gingerbread-men/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub
https://www.allrecipes.com/recipes/362/desserts/cookies/?page=3,page 3 of 259,https://www.allrecipes.com/recipe/10785/robbis-mms-cookies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub
https://www.allrecipes.com/recipes/362/desserts/cookies/?page=3,page 3 of 259,https://www.allrecipes.com/recipe/11646/pauls-pumpkin-bars/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub
https://www.allrecipes.com/recipes/362/desserts/cookies/?page=3,page 3 of 259,https://www.allrecipes.com/recipe/10192/russian-tea-cakes-i/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub
https://www.allrecipes.com/recipes/362/desserts/cookies/?page=3,page 3 of 259,https://www.allrecipes.com/recipe/10909/annas-chocolate-chip-cookies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub
