page_url,page
https://www.allrecipes.com/recipes/362/desserts/cookies/?page=244,page 244 of 259
https://www.allrecipes.com/recipes/362/desserts/cookies/?page=245,page 245 of 259
https://www.allrecipes.com/recipes/362/desserts/cookies/?page=246,page 246 of 259
https://www.allrecipes.com/recipes/362/desserts/cookies/?page=247,page 247 of 259
https://www.allrecipes.com/recipes/362/desserts/cookies/?page=248,page 248 of 259
https://www.allrecipes.com/recipes/362/desserts/cookies/?page=249,page 249 of 259
https://www.allrecipes.com/recipes/362/desserts/cookies/?page=250,page 250 of 259
https://www.allrecipes.com/recipes/362/desserts/cookies/?page=251,page 251 of 259
https://www.allrecipes.com/recipes/362/desserts/cookies/?page=252,page 252 of 259
https://www.allrecipes.com/recipes/362/desserts/cookies/?page=253,page 253 of 259
https://www.allrecipes.com/recipes/362/desserts/cookies/?page=254,page 254 of 259
https://www.allrecipes.com/recipes/362/desserts/cookies/?page=255,page 255 of 259
https://www.allrecipes.com/recipes/362/desserts/cookies/?page=256,page 256 of 259
https://www.allrecipes.com/recipes/362/desserts/cookies/?page=257,page 257 of 259
https://www.allrecipes.com/recipes/362/desserts/cookies/?page=258,page 258 of 259
https://www.allrecipes.com/recipes/362/desserts/cookies/?page=259,page 259 of 259
